id	filename	md5	size	state
005c0660-3700-40ea-b037-b456319d369a	bb15d7d0-8705-49af-89e4-fc13c01de642.FPKM.txt.gz	0ba5871795236691b8fe3c3e7246629d	530648	validated
00f4db49-cd11-45ee-8191-b0ebfb519867	0c4064ce-0402-41cc-88d6-bfb684527509.FPKM.txt.gz	6699ba2b099bdb1920ceb8e7c04663fd	337581	validated
0212ee68-6b55-496b-a421-e6dee0188bdf	c9f1e3a2-6170-4654-a14e-af4091ce86c1.FPKM.txt.gz	e35d88c7206b255cddccd25897ac6dea	277317	validated
030cf06f-890c-4193-9c7d-254980c73a48	3d771128-9e90-49c2-8ee5-23d994ee6398.FPKM.txt.gz	9ab28332f14aa635178650ce60972ba7	534467	validated
03a162ee-0be2-484d-ad86-17bba311a3f8	4172e3f8-3578-4f33-9168-6f8c2b8d0783.FPKM.txt.gz	415dada3f81c97ddd6175144dd39ad52	528654	validated
047eeece-d6ed-47a1-83a2-91355a3f5e22	04fac17a-1709-4068-bcb4-961cf262d78b.FPKM.txt.gz	96bb7e3b0b7fbb0854fe176237a5b6a7	338437	validated
051918c1-9bb2-4146-bf85-4e4a55c5759e	5aed2227-1f31-4159-9eed-430bc45c61dc.FPKM.txt.gz	6d48d27918c5a080807f6380ba1303ad	513666	validated
073fef56-deeb-47cd-8747-ad5ad93ef283	1c0ab0ff-bb28-4590-b3c5-007997f5d08e.FPKM.txt.gz	23aa412c17b8b8a6162c8de16dbb5a38	338091	validated
0882ecec-b533-4912-adc1-8ffd6eaa47c1	c19f102d-47a0-48c6-9443-63730d9ea6d1.FPKM.txt.gz	b2132c8f162506ac8693b49b189ca138	489527	validated
08a644ca-34c7-4f2d-bafd-02b94b7b9a5c	40219d64-af9f-4b08-977b-da2f5b7c652d.FPKM.txt.gz	fa743e59e595da4337419ca1b7554f7a	342525	validated
093086a4-507a-49d5-93e7-542217bc699e	781370b7-6802-4efd-bccc-65b9e25950ad.FPKM.txt.gz	0ac82ce5ab02059887d01586879c7213	335355	validated
09550eb6-6572-455c-8427-4c1d88e8d136	f793480f-38aa-4a03-9625-060a25fd3c46.FPKM.txt.gz	3488e5bed52f405c39aa7cceacaf5d10	332611	validated
09bf8533-17e7-41c2-82ea-cfc6e8efdd22	cad9fdb7-a9b0-4718-bb7b-efe38659ca3d.FPKM.txt.gz	ebc385a4dce9862a65c9e08d99dc9bcb	338584	validated
09ef35ba-c2de-4058-8e11-e47b63eef136	53580534-ea8b-4346-93ed-3d454d1f366c.FPKM.txt.gz	a6dea810ae43567819784335879a17ff	337526	validated
0a534898-f846-4305-bcea-8063f1e3415d	8965675a-e0f5-422f-add0-d1998fa0f0a0.FPKM.txt.gz	a3b0c3a89dd7340109fb5d16cb0e820b	339729	validated
0aa0ed5f-e784-4ddd-8dee-6eb0baa70eeb	af8776a9-34de-478c-bbc0-ca9846da700f.FPKM.txt.gz	0d27d1afa8b454c98609cfd080ac4b3b	340627	validated
0ae4ff1f-e2d3-46e0-95a2-0ea80a4ebb63	574df2fc-a608-49c5-8e83-f26d03ef8bb3.FPKM.txt.gz	58e0b2deb066f6c219a02582211c9354	484949	validated
0ba3ac3b-4257-4e8b-bc80-ab89da55f607	dec7dc53-a480-493c-98ca-785db6a82c6d.FPKM.txt.gz	efa58688816feb9dc29910df38c71c54	334251	validated
0c2840a2-3a49-4f22-ae21-1cfbb0034212	fef65b57-c58d-4050-8de4-f09f5cd616ce.FPKM.txt.gz	b5a4ef548b81dca3f07db70c6326382e	522807	validated
0c4e5302-4696-4e0f-8473-8310b63032a1	0d5712d6-ed95-4a97-85a6-bb98aa46f34f.FPKM.txt.gz	0a58d16b978119d7dd2addb180b015df	330702	validated
0dfe7aef-a105-4a32-89ca-49a30a1b59ed	65a45bca-b5d4-4763-a51f-f7b9ad9efcb9.FPKM.txt.gz	7d2f9a43a4c7f10757b8d43bd4424805	522256	validated
