gene_id	FPKM
ENSG00000242268.2	0.0
ENSG00000270112.3	0.00476189648684
ENSG00000167578.15	3.32356547156
ENSG00000273842.1	0.0
ENSG00000078237.5	3.19192300098
ENSG00000146083.10	4.92498555224
ENSG00000225275.4	0.0
ENSG00000158486.12	0.0162878504834
ENSG00000198242.12	150.246469313
ENSG00000259883.1	0.0632078451963
ENSG00000231981.3	0.0
ENSG00000269475.2	0.0
ENSG00000201788.1	0.0
ENSG00000134108.11	31.303208093
ENSG00000263089.1	0.00569180666273
ENSG00000172137.17	4.32103379072
ENSG00000167700.7	7.07073190727
ENSG00000234943.2	0.0
ENSG00000240423.1	0.0
ENSG00000060642.9	4.94969571556
ENSG00000271616.1	0.0
ENSG00000234881.1	0.0
ENSG00000236040.1	0.0
ENSG00000231105.1	0.117950581637
ENSG00000243044.1	0.0
ENSG00000182141.8	0.412993632596
ENSG00000269416.4	0.118284584093
ENSG00000264981.1	0.0
ENSG00000275265.1	0.0
ENSG00000185105.4	0.0991319134384
ENSG00000233540.1	0.0
ENSG00000102174.8	0.431301464367
ENSG00000271647.1	0.0
ENSG00000166391.13	0.00588708004908
ENSG00000270469.1	0.240361275691
ENSG00000070087.12	15.7603892788
ENSG00000262950.1	0.0
ENSG00000255420.1	0.0
ENSG00000280038.1	0.0
ENSG00000266261.1	0.128020793292
ENSG00000153561.11	4.23658385866
ENSG00000269148.1	0.127573949336
ENSG00000274458.1	0.0
ENSG00000273406.1	0.0
ENSG00000179262.8	39.5596971453
ENSG00000214198.6	0.0269074570535
ENSG00000278099.1	0.0
ENSG00000166368.2	0.0
ENSG00000206072.11	0.0
ENSG00000234900.1	0.0
ENSG00000258630.1	0.0
ENSG00000127511.8	6.7100525224
ENSG00000220993.1	0.0
ENSG00000225269.2	0.0418910446816
ENSG00000214062.5	0.0336555584574
ENSG00000095587.8	0.872905692843
ENSG00000274219.1	0.0
ENSG00000230100.1	0.0
ENSG00000064601.15	84.9586296841
ENSG00000227766.1	0.564383040718
ENSG00000008517.15	43.0914905061
ENSG00000215246.5	0.04198729062
ENSG00000266644.1	0.0435118291485
ENSG00000236893.1	0.0
ENSG00000254465.1	0.0
ENSG00000088179.7	0.770848679132
ENSG00000070081.14	8.09692496964
ENSG00000275479.1	1.41666420483
ENSG00000166634.5	0.0
ENSG00000261789.1	0.0
ENSG00000254092.1	0.0
ENSG00000197421.8	0.0
ENSG00000161558.9	0.908563673763
ENSG00000276644.3	0.325551484741
ENSG00000260900.1	0.0
ENSG00000278732.1	0.0
ENSG00000196167.8	0.0111607119309
ENSG00000268465.1	0.0
ENSG00000264438.2	0.0
ENSG00000204113.6	0.0
ENSG00000207000.1	0.0
ENSG00000254131.1	0.0
ENSG00000118972.1	0.00807376551463
